,user_id,appid,Assuming_Ratings
0,0,10,2
1,0,60,5
2,0,70,5
3,0,130,3
4,0,220,5
5,0,240,1
6,0,320,5
7,0,340,2
8,0,400,3
9,0,550,5
10,0,620,5
11,0,730,1
12,0,1046930,2
13,0,8930,2
14,0,105600,3
15,0,72850,4
16,0,49520,2
17,0,230410,2
18,0,238960,5
19,0,251570,1
20,0,252490,1
21,0,219990,2
22,0,261550,1
23,0,271590,2
24,0,275850,2
25,0,304930,1
26,0,239140,2
27,0,255710,1
28,0,367520,5
29,0,292030,5
30,0,377160,4
31,0,431960,2
32,0,289070,1
33,0,578080,1
34,0,582010,1
35,0,632360,1
36,0,814380,4
37,0,892970,1
38,0,945360,1
39,0,1091500,5
40,0,1085660,5
41,0,1097150,1
42,0,1245620,5
0,1,4000,5
1,1,550,2
2,1,8930,3
3,1,620,5
4,1,105600,5
5,1,72850,3
6,1,230410,4
7,1,236390,5
8,1,238960,2
9,1,218620,5
10,1,252490,4
11,1,433850,5
12,1,301520,2
13,1,304050,1
14,1,304930,3
15,1,227940,1
16,1,271590,5
17,1,255710,5
18,1,431960,2
19,1,292030,5
20,1,578080,2
21,1,359550,2
22,1,730,5
23,1,945360,1
24,1,1046930,5
25,1,289070,5
26,1,1172470,2
0,2,4000,3
1,2,550,5
2,2,620,5
3,2,105600,2
4,2,230410,3
5,2,224260,3
6,2,72850,2
7,2,251570,3
8,2,49520,5
9,2,8930,5
10,2,271590,3
11,2,304930,5
12,2,255710,1
13,2,730,5
14,2,377160,1
15,2,359550,5
16,2,239140,5
17,2,431960,5
18,2,275850,5
19,2,381210,5
20,2,466240,5
21,2,289070,5
22,2,292030,5
23,2,578080,5
24,2,648800,5
25,2,218620,2
26,2,755790,5
27,2,532210,5
28,2,892970,5
29,2,1091500,4
30,2,1085660,5
31,2,1174180,5
32,2,1245620,5
33,2,1240440,5
0,3,4000,3
1,3,400,5
2,3,70,5
3,3,130,2
4,3,220,5
5,3,620,5
6,3,105600,5
7,3,730,5
8,3,203160,5
9,3,230410,2
10,3,242760,1
11,3,218620,5
12,3,252490,5
13,3,252950,5
14,3,550,5
15,3,273110,2
16,3,304930,5
17,3,291480,1
18,3,367520,5
19,3,413150,5
20,3,289070,3
21,3,96000,3
22,3,278360,3
0,4,70,2
1,4,220,5
2,4,340,4
3,4,240,5
4,4,360,2
5,4,10,2
6,4,60,2
7,4,80,3
8,4,320,5
9,4,4000,5
10,4,400,5
11,4,10180,5
12,4,550,5
13,4,8930,1
